"Username","Brugernavn"
"excluding tax","eksklusiv moms"

"Pickuppoint","Afhentningssted"
"Private to home","Privatpakke med omdeling"
"Commercial","Erhvervspakke"
"Private","Privatpakke uden omdeling"
"DPD Classic","DPD Classic"
"DPD Guarantee","DPD Garantipakke"
"Value mail","Varebrev"
"Value mail first class","Varebrev første klasse"
"Value mail economy","Varebrev økonomi"
"Maxi mail","Stort brev"
"Commercial Bulksplit","Erhverv Bulksplit"
"Private Bulksplit","Privatpakke uden omdeling Bulksplit"
"Private to home Bulksplit","Privatpakke med omdeling Bulksplit"
"Private collective","Privat samsending"
"Private priority","Privatpakke prioritet"
"Private economy","Privatpakke økonomi"
"Service Logistics","Service Logistik"
"Express","Express"
"Mini parcel","Minipakke"
"Commercial priority","Erhvervspakke prioritet"

"Generate label","Opret label"
"Generate return label","Opret retur label"
"Generate normal and return label","Opret almindelig og retur label"

"Order","Order"
"Download combined PDF label","Hent samlet PDF-label"
"Link to print labels","Link til print af labels"
"Download PDF label","Hent PDF-label"
"Link to print label","Link til print af label"
"Label generated with Smart Send Logistics","Label genereret via Smart Send Logistics"
"Tracecode","Trackingnummer"
"Unknown API method","Ukendt API-metode"
"Error trying to create data request","Fejl ved generering af data-kald"
"Error from server","Serverfejl"
"No orders returned","Ingen ordre returneret fra server"
"No parcels returned","Ingen forsendelser returneret fra serveren"
"Unknown order was returned from server","Ukendt order returneret fra server"
"No PDF file or link returned from server","Ingen PDF-fil eller link til udskrift tilgængeligt"
"Failed to insert tracecode. No tracecode available.","Fejl under indsættese af trackingnummer. Trackingnummer er ikke tilgængeligt."
"Failed to change order status. Status unchanged.","Fejl ved opdatering af ordrestatus. Ordrestatus er ikke opdateret."
"Failed to send shipment mail. No mail sent.","Fejl ved udsendelse af forsendelsemail. Forsendelsesmail blev ikke udsendt."
"Failed to add order comment","Fejl ved opdatering af ordrehistorikken."
"Please enter a username in the modules settings","Indtast venligst et brugernavn i modulets indstillinger"
"Please enter a license key in the modules settings","Indtast venligst en licenskode i modulets indstillinger"

"Unable to determine the shipping method used for return parcels","Kunne ikke bestemme forsendelsesmetoden til returpakker"
"Unable to determine the shipping carrier","Kunne ikke bestemme fragtfirmaet"
"Unable to determine the shipping method","Kunne ikke bestemme fragtmetoden"
"Unable to determine carrier for pickup shipping method","Kunne ikke bestemme fragtfirma for fragtmetode til afhentningssted"
"Unsupported carrier","Ikke supporteret fragtmetode"
"Unable to determine shipping method for carrier","Kunne ikke bestemme fragtmetoden for fragtfirmaet"
"Unable to determine shipping carrier","Kunne ikke bestemme fragtfirmaet"
"Unknown shipping carrier","Ukendt fragtmetode"
"Unable to determine shipping method","Kunne ikke bestemme fragtmetoden"
"All packages has been shipped. No parcels without trace code exists. Remove existing tracecodes to re-generate labels.","Alle pakker er allerede afsendt. Ingen pakker mangler trackingnummer. Fjern eksisterende trackingnumre for at lave nye labels."
"No order items to ship","Ingen produkter i ordre kan afsendes"
"No parcels to ship","Ingen forsendelser at sende"
"Trying to access pickup data for an order that is not a pickup point order","Kunne ikke hente data om afhentningssted for en ordre der er sendt med anden metode"

"Pickuppoint","Afhentningssted"
"ID","ID"
"Shipping to closest pickup point","Sendes til nærmeste afhentningssted"
"Select pickup point","Vælg afhentningssted"
"Not a pickup point","Ikke et afhentningssted"
"Select flexdelivery option","Vælg flexlevering"
"Flexdelivery","Flexlevering"
"Flexdelivery instruction not available","Flexleveringsinstruktion ikke valgt"
"By the frontdoor","Foran hoveddøren"
"By the carport","Ved carporten eller garagen"
"By the back dor","Ved bagdøren"
"I have Modtagerflex","Jeg har Modtagerflex"
"Can be left unattended","Må stilles et andet sted"
